value
09
1.00.00001,"Tues, 03 July 2012 00:00:00 GMT"
1.00.00001,"Tues, 03 July 2012 00:00:00 GMT",Property
1.00.00001,"Tues, 03 July 2012 00:00:00 GMT",Agent
1.00.00001,"Tues, 03 July 2012 00:00:00 GMT",Office
1.00.00001,"Wed, 6 Nov 2013 00:00:00 GMT",Destination
1.00.00001,2012-07-03T00:00:00Z,Property
1.00.00001,2012-07-03T00:00:00Z,Agent
1.00.00001,2012-07-03T00:00:00Z,Office
RoomType,1.00.00001,"Fri, 29 Jun 2012 00:00:00 GMT",Property
Sewer,1.00.00001,"Fri, 29 Jun 2012 00:00:00 GMT",Property
StoreFront,1.00.00001,"Fri, 29 Jun 2012 00:00:00 GMT",Property
SignType,1.00.00001,"Fri, 29 Jun 2012 00:00:00 GMT",Property
SoilEvaluationType,1.00.00001,"Fri, 29 Jun 2012 00:00:00 GMT",Property
SoilType,1.00.00001,"Fri, 29 Jun 2012 00:00:00 GMT",Property
StorageType,1.00.00001,"Fri, 29 Jun 2012 00:00:00 GMT",Property
StructureType,1.00.00001,"Fri, 29 Jun 2012 00:00:00 GMT",Property
SurfaceWater,1.00.00001,"Fri, 29 Jun 2012 00:00:00 GMT",Property
TopographyType,1.00.00001,"Fri, 29 Jun 2012 00:00:00 GMT",Property
TransactionType,1.00.00001,"Fri, 29 Jun 2012 00:00:00 GMT",Property
UffiCodes,1.00.00001,"Fri, 29 Jun 2012 00:00:00 GMT",Property
UtilityPower,1.00.00001,"Fri, 29 Jun 2012 00:00:00 GMT",Property
UtilityType,1.00.00001,"Fri, 29 Jun 2012 00:00:00 GMT",Property
UtilityWater,1.00.00001,"Fri, 29 Jun 2012 00:00:00 GMT",Property
ViewType,1.00.00001,"Fri, 29 Jun 2012 00:00:00 GMT",Property
WaterFrontType,1.00.00001,"Fri, 29 Jun 2012 00:00:00 GMT",Property
ZoningType,1.00.00001,"Fri, 29 Jun 2012 00:00:00 GMT",Property
Boards,1.00.00001,"Fri, 29 Jun 2012 00:00:00 GMT",Agent
IndividualDesignations,1.00.00001,"Fri, 29 Jun 2012 00:00:00 GMT",Agent
Languages,1.00.00001,"Fri, 29 Jun 2012 00:00:00 GMT",Agent
Specialties,1.00.00001,"Fri, 29 Jun 2012 00:00:00 GMT",Agent
Boards,1.00.00001,"Fri, 29 Jun 2012 00:00:00 GMT",Office
Franchisor,1.00.00001,"Fri, 29 Jun 2012 00:00:00 GMT",Office
OrganizationType,1.00.00001,"Fri, 29 Jun 2012 00:00:00 GMT",Office
OrganizationDesignations,1.00.00001,"Fri, 29 Jun 2012 00:00:00 GMT",Office
